,,,,,
Date ,Time,PV gen (kW),Load (kW),"Temp (°C)
",pmaxpu
1/1/2015,12:00:00 AM,0,0.4685304637,23.724,0
1/1/2015,1:00:00 AM,0,0.4219741019,23.117,0
1/1/2015,2:00:00 AM,0,0.4318438714,22.713,0
1/1/2015,3:00:00 AM,0,0.408764035,22.197,0
1/1/2015,4:00:00 AM,0,0.3880104279,21.737,0
1/1/2015,5:00:00 AM,0,0.4095685852,21.364,0
1/1/2015,6:00:00 AM,0.168,0.4281851195,22.403,0.056
1/1/2015,7:00:00 AM,0.553,0.3873171615,24.156,0.1843333333
1/1/2015,8:00:00 AM,1.044,0.3471920886,26.256,0.348
1/1/2015,9:00:00 AM,1.517,0.3194673432,28.193,0.5056666667
1/1/2015,10:00:00 AM,1.747,0.2847432241,28.849,0.5823333333
1/1/2015,11:00:00 AM,1.955,0.2508221951,30.592,0.6516666667
1/1/2015,12:00:00 PM,1.888,0.3333408149,31.525,0.6293333333
1/1/2015,1:00:00 PM,1.842,0.4332417287,32.1,0.614
1/1/2015,2:00:00 PM,1.927,0.5520294978,32.906,0.6423333333
1/1/2015,3:00:00 PM,1.822,0.7148703427,33.414,0.6073333333
1/1/2015,4:00:00 PM,1.424,0.9215960282,33.241,0.4746666667
1/1/2015,5:00:00 PM,0.869,1.13581862,32.565,0.2896666667
1/1/2015,6:00:00 PM,0.339,1.266012471,31.617,0.113
1/1/2015,7:00:00 PM,0.059,1.250746634,29.637,0.01966666667
1/1/2015,8:00:00 PM,0,1.138175761,28.21,0
1/1/2015,9:00:00 PM,0,0.9735775407,26.475,0
1/1/2015,10:00:00 PM,0,0.7595131862,24.907,0
1/1/2015,11:00:00 PM,0,0.6078530423,24.361,0
1/2/2015,12:00:00 AM,0,0.6237124299,24.272,0
1/2/2015,1:00:00 AM,0,0.5064011401,24.069,0
1/2/2015,2:00:00 AM,0,0.547897295,23.807,0
1/2/2015,3:00:00 AM,0,0.5248128082,23.517,0
1/2/2015,4:00:00 AM,0,0.5307733659,23.357,0
1/2/2015,5:00:00 AM,0,0.5379029407,23.366,0
1/2/2015,6:00:00 AM,0.147,0.6014507815,25.099,0.049
1/2/2015,7:00:00 AM,0.567,0.6504623377,28.017,0.189
1/2/2015,8:00:00 AM,1.139,0.7411144723,31.831,0.3796666667
1/2/2015,9:00:00 AM,1.651,0.8191796394,35.198,0.5503333333
1/2/2015,10:00:00 AM,2.029,0.91103979,36.754,0.6763333333
1/2/2015,11:00:00 AM,2.208,1.032085091,37.741,0.736
1/2/2015,12:00:00 PM,2.191,1.173078521,38.303,0.7303333333
1/2/2015,1:00:00 PM,2.004,1.262160594,38.483,0.668
1/2/2015,2:00:00 PM,1.797,1.41752405,38.534,
1/2/2015,3:00:00 PM,1.493,1.570262736,38.367,
1/2/2015,4:00:00 PM,1.321,1.749867143,38.502,
1/2/2015,5:00:00 PM,0.804,1.927410372,37.918,
1/2/2015,6:00:00 PM,0.332,2.012718373,36.378,
1/2/2015,7:00:00 PM,0.054,1.890484904,33.534,
1/2/2015,8:00:00 PM,0,1.711618123,33.06,
1/2/2015,9:00:00 PM,0,1.474458848,32.032,
1/2/2015,10:00:00 PM,0,1.189625698,28.811,
1/2/2015,11:00:00 PM,0,0.9433071567,25.993,
1/3/2015,12:00:00 AM,0,0.894392933,24.541,
1/3/2015,1:00:00 AM,0,0.7579795721,23.969,
1/3/2015,2:00:00 AM,0,0.7497761528,24.014,
1/3/2015,3:00:00 AM,0,0.6696804112,24.363,
1/3/2015,4:00:00 AM,0,0.6826709336,24.69,
1/3/2015,5:00:00 AM,0,0.6604853102,25.199,
1/3/2015,6:00:00 AM,0.164,0.6984008446,27.107,
1/3/2015,7:00:00 AM,0.549,0.7684520808,29.732,
1/3/2015,8:00:00 AM,1.069,0.8545133241,32.678,
1/3/2015,9:00:00 AM,1.493,0.9512127416,34.89,
